,url
5,https://cnnespanol.cnn.com/2023/08/23/por-que-vertira-japon-agua-radioactiva-fukushima-mar-que-peligros-hay-trax/
0,https://cnnespanol.cnn.com/video/venezuela-ordenes-arresto-magnicidio-maduro-oposicion-conclusiones-tv/
1,https://cnnespanol.cnn.com/video/mijain-lopez-leyenda-lucha-grecorromana-juegos-olimpicos-paris-2024-deportes-tv/
0,https://cnnespanol.cnn.com/video/honda-llama-revision-accord-hrv-cinturon-seguridad-cnn-dinero-tv/
1,https://cnnespanol.cnn.com/video/calentamiento-global-temperatura-hidrocarburos-ser-humano-dusa-ush/
2,https://cnnespanol.cnn.com/2022/11/25/mas-feliz-no-compras-black-friday-trax/
3,https://cnnespanol.cnn.com/2023/09/29/china-estrena-primer-tren-alta-velocidad-sobre-agua-trax/
4,https://cnnespanol.cnn.com/2023/09/25/juntos-cambio-triunfa-elecciones-mendoza-cornejo-bullrich-orix/
5,https://cnnespanol.cnn.com/2023/10/22/elecciones-argentina-2023-resultados-massa-milei-bullrich-ultimas-noticias-en-vivo-orix-arg/
6,https://cnnespanol.cnn.com/video/ovejas-dron-video-carretera-washington-trax/
7,https://cnnespanol.cnn.com/video/mate-argentina-bebida-nacional-redaccion/
8,https://cnnespanol.cnn.com/2023/07/18/cuantos-periodistas-asesinados-mexico-2023-orix/
9,https://cnnespanol.cnn.com/2023/02/21/jimmy-carter-familia-vida-mujer-hijos-carrera/
10,https://cnnespanol.cnn.com/video/venezuela-maduro-sanciones-machado-dusa-tv/
0,https://cnnespanol.cnn.com/video/openai-chatgpt-versiones-personalizadas-ia-inteligencia-artificial-cnn-dinero-tv/
1,https://cnnespanol.cnn.com/video/uganda-criminalizacion-homosexualidad-presidente-leyes-jennifer-montoya-cafe/
2,https://cnnespanol.cnn.com/video/argentina-alberto-fernandez-relacion-con-eeuu-redaccion-buenos-aires-tv/
3,https://cnnespanol.cnn.com/video/costos-energia-laborales-lineas-aereas-2024-luis-gallego-globoeconomia-tv/
4,https://cnnespanol.cnn.com/video/cuba-ambiente-cambio-climatico-estudio-cientificos-dusa-tv/
5,https://cnnespanol.cnn.com/video/robert-de-niro-gotham-dsicurso-trump-apple-trax-pespectivas-mexico-tv/
6,https://cnnespanol.cnn.com/video/latinos-mas-reproducidos-en-spotify-showbiz/
7,https://cnnespanol.cnn.com/video/consolidacion-lineas-aereas-europa-luis-gallego-globoeconomia-tv/
8,https://cnnespanol.cnn.com/video/messi-mural-miami-ush-digital-pkg/
9,https://cnnespanol.cnn.com/video/powerball-sorteo-secretos-pkg-digital-original/
10,https://cnnespanol.cnn.com/video/henry-kissinger-legado-diplomacia-eeuu-aristegui-tv/
11,https://cnnespanol.cnn.com/video/venezuela-disputa-inhabilitaciones-politicas-oposicion-conclusiones-tv/
12,https://cnnespanol.cnn.com/video/messi-miami-restaurante-prima-pasta-ush-digital-pkg/
13,https://cnnespanol.cnn.com/video/chicago-frio-migrantes-crisis-dusa-tv/
14,https://cnnespanol.cnn.com/video/cachorro-panda-gigante-columpio-cafe-tv/
15,https://cnnespanol.cnn.com/video/laura-pausini-persona-del-ano-2023-latin-grammy-showbiz/
16,https://cnnespanol.cnn.com/video/henry-kissinger-analisis-vida-politica-exterior-aristegui-tv/
17,https://cnnespanol.cnn.com/video/golpe-salvador-allende-chile-henry-kissinger-aristegui-tv/
18,https://cnnespanol.cnn.com/2022/06/13/anses-argentina-beneficios-como-saber-si-cobro-cuando-y-cuanto-orix/
