,0
0,https://lajornadanet.com/regional/2-policias-capturados-con-10-mil-500-cordobas-en-villa-de-mayo-en-masaya/
1,https://lajornadanet.com/regional/en-vivo-caravana-vehicular-de-ciudadanos-rumbo-a-masaya/
2,https://lajornadanet.com/mundo/alerta-en-ee-uu-por-la-presencia-de-una-mortal-bacteria-comecarne-en-aguas-del-atlantico-y-el-golfo-de-mexico/
