,url
51,https://www.sozcu.com.tr/2023/gundem/kayseride-vahset-topraga-gomulu-bebek-cesedi-bulundu-7810812/
52,https://www.sozcu.com.tr/2023/egitim/osym-ales-sonuclarini-acikladi-7792685/
53,https://www.sozcu.com.tr/2023/gundem/insaat-iskelesi-coktu-1-olu-2-yarali-2-7780236/
54,https://www.sozcu.com.tr/2023/gundem/bakanliktan-11-ile-saganak-yagis-uyarisi-7795141/
55,https://www.sozcu.com.tr/2023/dunya/abd-ordusundaki-kadinlarla-ilgili-carpici-rapor-7779546/
56,https://www.sozcu.com.tr/2023/gundem/mersindeki-kayip-kiz-cocugu-sanliurfada-bulundu-7807768/
57,https://www.sozcu.com.tr/2023/gundem/akpli-meclis-uyeleri-fakir-fukaranin-yardimini-reddetti-7801491/
58,https://www.sozcu.com.tr/spor/diger-sporlar/milli-atici-cagla-bas-paris-2024e-katilma-hakki-kazandi-7777659/
59,https://www.sozcu.com.tr/2023/gunun-icinden/eskisehirdeki-orman-yangini-23-saatte-kontrol-altina-alindi-7782115/
60,https://www.sozcu.com.tr/2023/gundem/aym-akpnin-cikardigi-o-yasayi-iptal-etti-7808318/
61,https://www.sozcu.com.tr/2023/gunun-icinden/marmariste-kaybolan-dalgicin-cansiz-bedeni-bulundu-7809028/
62,https://www.sozcu.com.tr/2023/gundem/istanbulda-dilendirilen-cocuk-denetiminde-ceza-yagdi-7783900/
63,https://www.sozcu.com.tr/2023/gundem/thodex-sanigindan-turkulu-son-savunma-7795746/
64,https://www.sozcu.com.tr/2023/gundem/kilosu-altinla-yarisiyor-anzer-balinin-fiyati-dudak-ucuklatiyor-7809401/
65,https://www.sozcu.com.tr/2023/gunun-icinden/midibuse-carpan-motosiklet-surucusu-oldu-7798439/
66,https://www.sozcu.com.tr/2023/gundem/davutoglu-duyurdu-kendi-logo-ve-ismimizle-secimlere-girecegiz-7771772/
67,https://www.sozcu.com.tr/2023/gundem/denetime-takildi-emniyet-mudurunu-ara-bunlari-alsinlar-7785734/
68,https://www.sozcu.com.tr/2023/egitim/aof-yaz-okulu-sinav-sonuclari-ne-zaman-aciklanacak-7786533/
69,https://www.sozcu.com.tr/2023/gundem/can-atalayin-bulunmasi-gereken-yer-meclistir-7797527/
70,https://www.sozcu.com.tr/2023/gundem/benzin-istasyonlarinda-zam-oncesi-kuyruk-7800884/
71,https://www.sozcu.com.tr/spor/basketbol/basketbol-super-liginde-3-haftalik-program-7801831/
72,https://www.sozcu.com.tr/2023/gundem/istanbulda-sevgilimi-rahatsiz-ettin-cinayeti-7801798/
73,https://www.sozcu.com.tr/2023/ekonomi/orta-vadeli-programi-dis-basin-boyle-gordu-7795051/
74,https://www.sozcu.com.tr/2023/gundem/hatayda-siddetli-yagis-sirasinda-agir-hasarli-iki-katli-bina-coktu-7785849/
75,https://www.sozcu.com.tr/2023/gundem/bogazicinde-gokkusagi-bayragina-izin-yok-7813313/
76,https://www.sozcu.com.tr/2023/teknoloji/trafik-kurallarini-ihlal-eden-muska-ceza-yok-7786659/
77,https://www.sozcu.com.tr/2023/gundem/osmaniyede-ambulans-ile-otomobil-carpisti-3-olu-3-yarali-7782623/
78,https://www.sozcu.com.tr/2023/ekonomi/on-secimin-galibi-asiri-sagci-adaydan-dunyayi-sallayan-merkez-bankasi-ve-dolar-vaadi-7772520/
79,https://www.sozcu.com.tr/2023/ekonomi/ab-rusyadan-gelen-arabalara-el-koymaya-devam-edecek-7799554/
80,https://www.sozcu.com.tr/2023/gundem/kayip-berzegin-banka-hesaplari-ve-bilgisayarlari-incelendi-7784740/
81,https://www.sozcu.com.tr/2023/gundem/suc-sarmali-buyuyor-7813299/
82,https://www.sozcu.com.tr/2023/ekonomi/dagitim-sirketleri-kasayi-dolduruyor-borcunu-odemiyor-7810960/
83,https://www.sozcu.com.tr/2023/gundem/izmirde-kanli-pusu-kursun-yagmuruna-tutuldu-7808442/
84,https://www.sozcu.com.tr/2023/gundem/kiz-arkadasini-bogarak-oldurdu-7774546/
85,https://www.sozcu.com.tr/2023/gundem/6-ay-sonra-hataydan-aci-haber-zakharin-cenazesi-kimsesizler-mezarliginda-bulundu-7786884/
86,https://www.sozcu.com.tr/2023/dunya/gecen-sene-kriz-cikmisti-natodan-30-agustos-mesaji-7787885/
87,https://www.sozcu.com.tr/2023/dunya/bm-cilvegozunden-yardim-gecisleri-henuz-baslatilamadi-7787315/
88,https://www.sozcu.com.tr/2023/gunun-icinden/istanbulda-son-1-haftada-2-bin-127-dilenci-yakalandi-7784370/
89,https://www.sozcu.com.tr/2023/ekonomi/memur-ve-memur-emeklisi-yeni-zam-teklifine-odaklandi-7774341/
90,https://www.sozcu.com.tr/2023/gunun-icinden/rizede-silahli-saldiri-1-olu-7770578/
91,https://www.sozcu.com.tr/spor/futbol/cengiz-under-bu-takimin-cok-iyi-isler-yapacagina-inaniyorum-7772778/
92,https://www.sozcu.com.tr/2023/saglik/alzheimera-karsi-bu-onlemleri-alin-7794097/
93,https://www.sozcu.com.tr/spor/futbol/ankaragucu-baskani-faruk-koca-galatasaray-favori-gosterilebilir-ama-biz-buna-inanmiyoruz-7815884/
94,https://www.sozcu.com.tr/2023/dunya/iranda-mahsa-amini-gerginligi-babasi-gozaltina-alindi-7804384/
95,https://www.sozcu.com.tr/2023/gundem/bicak-parasi-isteyen-doktorun-odasi-boyle-arandi-7776845/
96,https://www.sozcu.com.tr/2023/gundem/depremzedenin-esyalarina-dadandilar-7775435/
97,https://www.sozcu.com.tr/2023/gundem/skandal-olay-turk-bayragi-ataturk-posterleri-yerlere-atildi-7812798/
98,https://www.sozcu.com.tr/2023/dunya/erdoganin-ziyareti-oncesinde-rusyadan-stratejik-noktaya-saldiri-7792241/
99,https://www.sozcu.com.tr/2023/gundem/seytanin-aklina-gelmez-zehir-tacirlerinin-yeni-yontemi-7811378/
100,https://www.sozcu.com.tr/2023/gundem/hamile-hekimi-darbeden-saldirgan-tutuklandi-7803771/
101,https://www.sozcu.com.tr/2023/gundem/memur-senden-bakanlik-onunde-eylem-7776516/
102,https://www.sozcu.com.tr/2023/dunya/trajik-olum-instagramin-gozdesi-o-bolgede-duserek-yasamini-yitirdi-7808636/
103,https://www.sozcu.com.tr/2023/ekonomi/moodysten-turkiye-degerlendirmesi-adimlar-olumlu-ancak-onemli-belirsizlikler-var-7796155/
104,https://www.sozcu.com.tr/2023/yazarlar/soner-yalcin/kandil-kulu-7799828/
105,https://www.sozcu.com.tr/spor/futbol/savo-milosevic-bosna-hersek-milli-takiminin-basina-getirildi-7816273/
106,https://www.sozcu.com.tr/2023/emlak/ev-sahibi-ve-kiracilar-dikkat-eger-katilmazsaniz-7801568/
107,https://www.sozcu.com.tr/2023/gundem/rizede-heyelan-sonrasi-hasar-tespiti-13-koy-etkilendi-7784135/
108,https://www.sozcu.com.tr/2023/gundem/alman-uzmanlardan-marmara-depremi-uyarisi-carpici-istanbul-detayi-7775066/
109,https://www.sozcu.com.tr/2023/dunya/zelenskiy-ulkenin-174-bin-kilometrekaresi-mayin-tehdidi-altinda-7771368/
110,https://www.sozcu.com.tr/2023/gundem/mit-diyetisyen-almak-icin-ilan-verdi-7813079/
111,https://www.sozcu.com.tr/2023/gundem/minibusten-taksiye-donusturulen-arac-sahipleri-eylem-yapti-2-7788928/
112,https://www.sozcu.com.tr/2023/gundem/komsusuna-sattigi-otomobili-caldi-7774919/
113,https://www.sozcu.com.tr/2023/gunun-icinden/park-halindeki-aracini-cikarirken-ortaligi-bir-birine-katti-7815169/
114,https://www.sozcu.com.tr/spor/dunyadan-spor/nicolas-pepe-arsenalden-ayrilacak-mi-besiktas-ve-al-shabab-tekliflerinde-son-durum-7793783/
115,https://www.sozcu.com.tr/2023/gundem/bakan-ozhaseki-turkiyenin-sicaklik-rekoru-kiran-bolgesini-acikladi-7774020/
116,https://www.sozcu.com.tr/2023/dunya/pasifikte-tahliye-gerilimi-nukleer-su-yillar-sonra-bosaltiliyor-7779723/
117,https://www.sozcu.com.tr/2023/gundem/12-bin-fidan-diktigi-ormanda-hayatini-kaybetti-7811404/
118,https://www.sozcu.com.tr/2023/gundem/edirneden-bir-aci-haber-daha-hasanin-ardindan-melike-de-yasamini-yitirdi-7781228/
119,https://www.sozcu.com.tr/2023/gundem/ozgur-ozel-yasadiklarini-sozcu-tvye-anlatti-7804583/
120,https://www.sozcu.com.tr/2023/gundem/pitbull-ile-yolculuk-yapti-33-bin-lira-ceza-yedi-7803884/
121,https://www.sozcu.com.tr/2023/dunya/abd-ile-cin-arasinda-kritik-gorusme-3-7805401/
122,https://www.sozcu.com.tr/spor/futbol/tolunay-kafkas-uzerine-koyarak-devam-etmek-istiyoruz-7809149/
